ccg,row_id,row_name,date,Short-acting insulins_items,Short-acting insulins_actual_cost,Intermediate and long-acting insulins_items,Intermediate and long-acting insulins_actual_cost,Sulfonylureas_items,Sulfonylureas_actual_cost,Biguanides_items,Biguanides_actual_cost,Other antidiabetic drugs_items,Other antidiabetic drugs_actual_cost,Treatment of hypoglycaemia_items,Treatment of hypoglycaemia_actual_cost,Diabetic diagnostic and monitoring agents_items,Diabetic diagnostic and monitoring agents_actual_cost
02T,B84001,STATION ROAD SURGERY,2021/4/1,24,1143.25,68,3100.29,112,272.48,308,1254.84,200,8190.32,13,81.93,107,1884.46
02T,B84001,STATION ROAD SURGERY,2021/5/1,30,1508.57,70,3248.83,99,239.16,301,1126.08,196,8514.98,15,108.97,110,1884.1
02T,B84001,STATION ROAD SURGERY,2021/6/1,22,989.98,77,3273.65,99,248.8,309,1208.67,204,8165.5,18,135.3,109,1930.54
02T,B84001,STATION ROAD SURGERY,2021/7/1,38,1787.77,80,3515.52,109,258.4,316,1183.66,189,8573.48,20,142.24,119,2107.95
02T,B84001,STATION ROAD SURGERY,2021/8/1,37,1803.93,89,3741.09,95,230.01,314,1059.78,201,8106.51,22,165.91,110,1896.87
02T,B84001,STATION ROAD SURGERY,2021/9/1,31,1483.49,83,3474.76,90,220.76,342,1174.29,190,7686.04,20,157.84,126,2337.08
02T,B84001,STATION ROAD SURGERY,2021/10/1,30,1409.88,82,3610.68,87,217.68,312,1050.02,185,7190.14,15,119.74,124,2221.63
02T,B84001,STATION ROAD SURGERY,2021/11/1,29,1604.39,85,3832.4,93,224.84,308,1060.26,178,7208.88,16,117.5,126,2146.97
02T,B84001,STATION ROAD SURGERY,2021/12/1,31,1372.86,93,3996.33,98,287.39,341,1084.7,211,8508.89,20,138.58,119,2086.16
02T,B84001,STATION ROAD SURGERY,2022/1/1,36,1778.42,91,3619.98,103,217.18,317,997.8,180,7571.58,19,157.83,139,2446.65
02T,B84001,STATION ROAD SURGERY,2022/2/1,25,1197.95,66,3185.94,81,235.69,263,785.5,162,6354.07,16,109.19,110,1847.59
02T,B84001,STATION ROAD SURGERY,2022/3/1,31,1302.01,90,3861.91,104,223.37,339,1124.83,217,8771.51,15,137.91,117,2065.85
02T,B84001,STATION ROAD SURGERY,2022/4/1,37,1920.55,87,3842.87,108,159.39,314,919.21,193,7368.6,22,178.24,126,2291.4
02T,B84001,STATION ROAD SURGERY,2022/5/1,37,1950.01,85,3712.8,119,350.2,367,1150.55,231,9496.76,22,183.16,125,2188.62
02T,B84001,STATION ROAD SURGERY,2022/6/1,32,1584.76,79,3642.48,77,135.23,277,829.13,154,6070.68,16,164.48,109,1926.61
02T,B84001,STATION ROAD SURGERY,2022/7/1,32,1289.88,81,3621.62,123,251.69,330,1006.45,220,9012.32,26,262.63,113,1939.53
02T,B84001,STATION ROAD SURGERY,2022/8/1,29,1370.46,79,3678.09,109,170.53,310,872.97,185,7505.07,21,188.8,104,1818.24
02T,B84001,STATION ROAD SURGERY,2022/9/1,40,1624.53,101,4567.06,120,169.41,399,1132.66,246,9487.19,21,161.18,139,2012.03
02T,B84001,STATION ROAD SURGERY,2022/10/1,25,1054.61,71,3224.11,95,152.62,310,879.03,188,7393.3,16,129.01,117,1362.69
02T,B84001,STATION ROAD SURGERY,2022/11/1,37,1472.32,80,3407.83,106,161.65,350,992.37,221,9288.39,18,142.57,108,1521.97
02T,B84001,STATION ROAD SURGERY,2022/12/1,30,1260.38,77,3689.25,98,159.42,356,1004.27,214,9178.13,12,110.78,96,1386.46
02T,B84001,STATION ROAD SURGERY,2023/1/1,29,1213.02,77,3725.37,108,164.79,346,976.28,231,9859.53,17,140.79,93,1167.16
02T,B84001,STATION ROAD SURGERY,2023/2/1,33,1241.95,70,3271.33,94,143.53,323,924.74,181,7436.74,12,106.98,82,1160.72
02T,B84001,STATION ROAD SURGERY,2023/3/1,33,1395.1,80,3735.34,112,172.65,364,1088.4,235,10370.1,14,116.01,88,1194.16
02T,B84001,STATION ROAD SURGERY,2023/4/1,27,1275.23,52,2473.04,81,117.85,319,896.91,182,7980.66,13,119.17,90,1183.04
02T,B84001,STATION ROAD SURGERY,2023/5/1,33,1363.43,68,3169.28,115,167.11,344,1030.17,232,10075.24,21,186.42,87,1189.7
02T,B84001,STATION ROAD SURGERY,2023/6/1,39,1586.17,75,3562.69,106,153.44,363,1087.42,206,9163.28,18,135.59,93,1450.99
02T,B84001,STATION ROAD SURGERY,2023/7/1,33,1393.29,89,4088.86,128,166.69,354,970.22,239,10166.21,23,226.93,99,1367.36
02T,B84001,STATION ROAD SURGERY,2023/8/1,25,938.76,65,2777.3,102,151.29,362,936.98,222,9204.03,16,114.82,79,1137.59
02T,B84001,STATION ROAD SURGERY,2023/9/1,31,1344.38,74,3186.77,104,161.78,343,875.41,206,8392.63,17,122.82,90,1169.54
02T,B84001,STATION ROAD SURGERY,2023/10/1,34,1336.73,74,3220.9,117,145.32,378,962.74,230,10185.74,22,193.06,90,1188.66
02T,B84001,STATION ROAD SURGERY,2023/11/1,27,1043.59,69,2939.84,90,106.92,332,772.73,209,7862.63,18,126.32,70,790.66
02T,B84001,STATION ROAD SURGERY,2023/12/1,31,1240.47,77,3316.16,100,139.14,352,886.1,236,10170.1,20,131.12,81,953.67
02T,B84001,STATION ROAD SURGERY,2024/1/1,39,1555.56,88,3921.55,117,160.45,364,890.67,235,9362.26,21,153.35,86,1080.84
02T,B84001,STATION ROAD SURGERY,2024/2/1,25,915.48,61,2819.72,90,136.85,339,892.13,246,9300.89,13,131.02,68,796.03
02T,B84001,STATION ROAD SURGERY,2024/3/1,29,1186.53,78,3528.05,118,151.75,352,870.6,235,8688.59,13,94.79,68,767.55
02T,B84001,STATION ROAD SURGERY,2024/4/1,36,1497.73,71,3260.86,112,142.75,379,952.19,264,10746.68,13,98.06,84,974.91
02T,B84001,STATION ROAD SURGERY,2024/5/1,43,1917.34,95,4531.1,127,145.63,401,1046.16,269,11019.52,19,191.29,83,1047.82
02T,B84001,STATION ROAD SURGERY,2024/6/1,31,1338.1,75,3920.3,99,106.29,333,785.62,239,10240.47,11,102.74,73,751.77
02T,B84001,STATION ROAD SURGERY,2024/7/1,35,1475.76,74,3973.18,110,142.95,439,1342.91,285,11220.95,14,218.97,83,964.6
02T,B84001,STATION ROAD SURGERY,2024/8/1,41,1839.85,74,3891.03,107,139.84,385,1504.43,295,10852.26,12,124.66,70,839.47
02T,B84001,STATION ROAD SURGERY,2024/9/1,33,1488.04,70,3367.82,101,122.71,392,1418.03,275,11287.44,13,104.66,80,852.31
02T,B84001,STATION ROAD SURGERY,2024/10/1,35,1695.51,79,3794.97,109,129.21,455,1606.8,323,12045.68,11,122.58,74,819.58
02T,B84001,STATION ROAD SURGERY,2024/11/1,32,1372.13,68,3539.35,97,114.77,369,1261.69,276,10569.72,13,125.23,78,910.71
02T,B84001,STATION ROAD SURGERY,2024/12/1,38,1774.77,76,3829.67,81,100.43,376,1237.05,315,11643.47,20,183.9,65,758.96
02T,B84001,STATION ROAD SURGERY,2025/1/1,37,1600.24,80,4401.08,96,126.26,425,1195.29,334,12262.79,15,170.23,80,909.99
02T,B84001,STATION ROAD SURGERY,2025/2/1,35,1818.33,69,3450.06,83,94.19,339,940.69,297,11021.8,19,164.33,77,860.53
02T,B84001,STATION ROAD SURGERY,2025/3/1,41,1813.89,64,3390.82,76,98.05,369,991.33,311,10603.89,19,200.13,75,844.5
02T,B84001,STATION ROAD SURGERY,2025/4/1,35,1682.03,76,4028.53,69,89.51,357,986.11,318,11728.06,20,163.79,67,667.28
02T,B84001,STATION ROAD SURGERY,2025/5/1,31,1430.42,69,3485.24,87,110.35,446,990,369,12337.02,17,140.99,63,792.93
02T,B84002,QUEENS ROAD SURGERY,2020/6/1,0,0,0,0,2,7.61,1,4.22,6,216.32,0,0,0,0
02T,B84003,RYDINGS HALL SURGERY,2020/6/1,23,994.64,49,2105.72,67,247.04,239,1212.46,141,6507.21,5,63.99,64,1342.47
02T,B84003,RYDINGS HALL SURGERY,2020/7/1,28,1195.9,63,2743.53,83,282.49,287,1394.44,157,7372.85,12,105.45,95,2222.55
02T,B84003,RYDINGS HALL SURGERY,2020/8/1,19,755.17,53,2341.34,70,255.07,240,1251.15,163,6868.92,13,137.12,74,1739.46
02T,B84003,RYDINGS HALL SURGERY,2020/9/1,24,880.43,51,2175.82,59,209.44,251,1267.43,148,6625.01,7,83.93,68,1453.24
02T,B84003,RYDINGS HALL SURGERY,2020/10/1,24,1037.1,63,2731.18,72,199.75,273,1417.42,167,7872.36,5,50.65,82,1803.6
02T,B84003,RYDINGS HALL SURGERY,2020/11/1,22,953.95,62,2761.74,79,265.41,258,1121.5,164,6906.73,9,85.5,85,1870.26
02T,B84003,RYDINGS HALL SURGERY,2020/12/1,34,1506.41,62,2601.53,80,235.75,292,1475.97,197,8694.48,9,74.53,93,1932.94
02T,B84003,RYDINGS HALL SURGERY,2021/1/1,24,1108.36,63,3385.58,93,281.68,258,1197.77,155,6897.77,8,76.58,89,2030.61
02T,B84003,RYDINGS HALL SURGERY,2021/2/1,21,770.9,57,2514.98,62,169.83,250,1113.46,147,7302.89,6,40.09,79,1579.75
02T,B84003,RYDINGS HALL SURGERY,2021/3/1,26,1078.69,58,2602.64,75,248.73,281,1410.03,180,8011.21,11,109.67,85,1761.99
02T,B84003,RYDINGS HALL SURGERY,2021/4/1,28,1163.32,65,2591.46,72,242.07,249,1107.36,170,7866.09,11,86.26,75,1488.78
02T,B84003,RYDINGS HALL SURGERY,2021/5/1,20,887.82,55,2542.18,65,187.2,230,943.06,157,6970.79,7,50.86,62,1345.48
02T,B84003,RYDINGS HALL SURGERY,2021/6/1,28,1091.11,52,2339.64,73,259.01,289,1222.18,175,8121.6,9,76.96,79,1712.15
02T,B84003,RYDINGS HALL SURGERY,2021/7/1,20,896.71,63,2676.61,61,183.35,253,1052.24,189,8732.06,14,147.4,78,1835.91
02T,B84003,RYDINGS HALL SURGERY,2021/8/1,27,1246.55,57,2416.04,84,229.82,252,1024.73,189,8819.07,11,95.18,73,1747.15
02T,B84003,RYDINGS HALL SURGERY,2021/9/1,25,862.43,61,2517.71,56,184.59,264,1202.65,178,8501.94,12,161.83,74,1684.05
02T,B84003,RYDINGS HALL SURGERY,2021/10/1,20,924.39,53,2245.44,57,140.46,262,1020.3,187,9374.7,6,50.56,66,1474.43
02T,B84003,RYDINGS HALL SURGERY,2021/11/1,28,1120.08,46,1848.84,62,193.66,244,950.56,177,7888.91,9,68.1,70,1559.79
02T,B84003,RYDINGS HALL SURGERY,2021/12/1,26,1044.7,60,2470.71,75,217.14,277,1110.12,201,9323.85,11,86.45,75,1728.67
02T,B84003,RYDINGS HALL SURGERY,2022/1/1,23,973.15,48,2092.22,62,133.13,244,1027.97,184,8236.02,9,73.49,64,1353.76
02T,B84003,RYDINGS HALL SURGERY,2022/2/1,18,760.77,55,2252.64,61,131.7,226,846.55,168,7325.06,7,67.12,58,1201.73
02T,B84003,RYDINGS HALL SURGERY,2022/3/1,24,980.45,60,2521.79,68,158.22,278,1122.55,201,8807.57,9,81.95,53,1224.03
02T,B84003,RYDINGS HALL SURGERY,2022/4/1,19,824.52,51,2061.27,70,150.6,261,881.12,214,7917.76,6,35.91,66,1350.84
02T,B84003,RYDINGS HALL SURGERY,2022/5/1,23,1148.95,59,2392.15,72,159.62,284,1078.13,207,9233.78,11,108.49,67,1483.73
02T,B84003,RYDINGS HALL SURGERY,2022/6/1,22,826.2,60,2520.16,67,139.46,239,905.54,205,9682.41,13,115.51,57,1067.33
02T,B84003,RYDINGS HALL SURGERY,2022/7/1,30,1265.15,60,2618.77,69,142.71,255,849.85,195,8242.4,10,81.96,66,1443.29
02T,B84003,RYDINGS HALL SURGERY,2022/8/1,21,846.6,59,2499.34,71,129.25,288,1149.34,206,8674.61,10,92.67,61,1353.21
02T,B84003,RYDINGS HALL SURGERY,2022/9/1,24,1000.96,59,2256.19,72,153.25,281,989.87,211,8725.22,16,159.69,65,1279.61
02T,B84003,RYDINGS HALL SURGERY,2022/10/1,23,1043.1,57,2451.37,57,111.51,269,908,192,7965.92,10,92.83,54,1026.34
02T,B84003,RYDINGS HALL SURGERY,2022/11/1,24,927.37,60,2587.42,66,126.76,293,1154.77,235,9637.01,11,100.26,64,1470.99
02T,B84003,RYDINGS HALL SURGERY,2022/12/1,28,1204.11,61,2240.24,78,143.67,298,1005.79,217,8628.59,6,60.31,74,1358.4
02T,B84003,RYDINGS HALL SURGERY,2023/1/1,27,1117.53,62,2658.23,67,150.41,290,1155.98,221,9441.99,13,126.72,64,1315.51
02T,B84003,RYDINGS HALL SURGERY,2023/2/1,24,970.22,62,2574.71,61,134.98,277,971.26,209,8527.34,15,118.39,61,1002.44
02T,B84003,RYDINGS HALL SURGERY,2023/3/1,22,952.45,53,1957.45,83,144.9,296,1173.91,242,9168.07,14,113.75,67,1454.63
02T,B84003,RYDINGS HALL SURGERY,2023/4/1,20,850.07,47,2084.16,42,101.51,275,938.96,197,7794.91,8,80.67,60,1237.97
02T,B84003,RYDINGS HALL SURGERY,2023/5/1,28,1080.23,60,2648.49,88,147.65,313,1094.74,217,8992.66,19,159.13,73,1287.19
02T,B84003,RYDINGS HALL SURGERY,2023/6/1,27,1126.95,56,2222.02,66,156.52,340,1042.75,230,9129.22,16,145.49,76,1264.91
02T,B84003,RYDINGS HALL SURGERY,2023/7/1,22,909.55,61,2551.37,67,148.67,282,896.39,217,8921.21,17,279.33,74,1277.2
02T,B84003,RYDINGS HALL SURGERY,2023/8/1,21,963.04,57,2126.78,70,142.49,301,804.77,223,9281.12,9,71.27,63,1212.41
02T,B84003,RYDINGS HALL SURGERY,2023/9/1,20,752.39,54,2222.74,56,114.4,286,732.89,212,8164.78,9,72.86,58,922.12
02T,B84003,RYDINGS HALL SURGERY,2023/10/1,32,1355.22,61,2876.16,108,163.41,362,947.15,266,10211.18,15,139.91,72,1367.15
02T,B84003,RYDINGS HALL SURGERY,2023/11/1,28,1245.06,59,2461.43,55,87.04,268,773.26,194,7593.82,17,212.15,63,1116.99
02T,B84003,RYDINGS HALL SURGERY,2023/12/1,29,1187.02,58,2530.78,81,155.4,343,848.52,253,8272.33,13,129.52,66,1281.52
02T,B84003,RYDINGS HALL SURGERY,2024/1/1,23,955.24,53,2299.87,81,139.69,287,749.02,222,7934.52,14,136.65,57,1023.41
02T,B84003,RYDINGS HALL SURGERY,2024/2/1,30,1215.37,60,2636.6,69,139.88,309,865.99,231,8005.8,17,156.58,77,1475.37
02T,B84003,RYDINGS HALL SURGERY,2024/3/1,28,1244.02,48,2317.11,68,111.82,298,790.45,245,8614.58,14,147.85,72,1138.68
02T,B84003,RYDINGS HALL SURGERY,2024/4/1,26,1153.65,60,2820.14,73,114.61,326,870.99,262,9241.69,17,146.56,77,1335.48
02T,B84003,RYDINGS HALL SURGERY,2024/5/1,23,901.9,50,2015.64,74,119,347,1171.23,252,10295.19,15,151.57,58,919.78
02T,B84003,RYDINGS HALL SURGERY,2024/6/1,34,1472.79,58,2746.5,64,108.64,287,908.93,216,8352.26,14,130,70,1019.04
02T,B84003,RYDINGS HALL SURGERY,2024/7/1,36,1502.52,56,2442.4,73,133.53,353,1255.21,263,9249.75,15,142.7,71,1158.32
02T,B84003,RYDINGS HALL SURGERY,2024/8/1,26,1034.14,59,2661.75,64,109.3,319,1167.29,264,10569.12,15,206.85,63,974.63
02T,B84003,RYDINGS HALL SURGERY,2024/9/1,31,1356.69,52,2297.41,78,124.65,350,1253.8,266,10466.44,21,187.15,64,969.9
02T,B84003,RYDINGS HALL SURGERY,2024/10/1,34,1369.85,56,2471.23,77,106.6,355,1181.85,261,9196.39,15,140.05,67,1074.05
02T,B84003,RYDINGS HALL SURGERY,2024/11/1,42,1821.51,59,2664.14,66,107.75,306,1226.74,261,11478.86,14,137.96,52,878.04
02T,B84003,RYDINGS HALL SURGERY,2024/12/1,34,1472.01,63,2445.03,82,115.72,376,1032,280,9512.93,16,132.09,61,945.49
02T,B84003,RYDINGS HALL SURGERY,2025/1/1,38,1658.42,53,2528,70,102.51,369,967.03,300,11553.56,16,160.75,62,866.67
02T,B84003,RYDINGS HALL SURGERY,2025/2/1,36,1518.4,58,2725.25,77,122.61,309,969.81,283,11976.85,18,160.17,63,890.33
02T,B84003,RYDINGS HALL SURGERY,2025/3/1,36,1584.84,57,2603.32,76,109.19,350,901.51,292,10909.19,19,182.36,63,939.23
02T,B84003,RYDINGS HALL SURGERY,2025/4/1,36,1381.55,56,2357.05,78,139.3,307,1013.4,273,11855.77,22,202.85,61,929.87
02T,B84003,RYDINGS HALL SURGERY,2025/5/1,36,1453.16,63,3209.33,80,115.4,360,1036.33,332,13080.91,19,181.21,60,939.25
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2020/6/1,59,2422.24,75,2956.46,230,490.09,527,1728.71,298,8110.38,16,161.44,118,3221.26
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2020/7/1,41,1356.26,78,3066.36,231,490.04,541,1966.88,316,9049.54,7,53.29,117,3270.03
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2020/8/1,48,1829.89,60,2411.44,179,352.73,478,1738.36,261,7671.39,14,140.33,101,2993.98
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2020/9/1,56,2135.21,84,3348.73,233,479.74,564,1963.65,297,7931.79,21,220.36,136,4013.21
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2020/10/1,53,2034.35,85,3589.74,219,395.89,557,1850.35,304,8345.37,16,155.11,119,3556.67
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2020/11/1,62,2631.89,79,3342.76,239,392.32,544,1799.27,306,8323.67,17,163.82,128,3558.41
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2020/12/1,57,2262.24,87,3469.8,229,433.25,538,1921.83,305,8978.92,9,67.88,106,3660.28
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2021/1/1,50,1858.72,70,2997.77,215,398.38,532,1691.31,311,8004.38,12,84.17,103,2776.09
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2021/2/1,61,2502.41,69,2707.8,200,316.33,497,1705.81,283,7222.32,12,82.22,119,3400.02
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2021/3/1,52,2030.01,92,3777.73,205,386.7,539,1840.1,301,8746.19,15,132.31,112,4054.6
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2021/4/1,44,1750.07,71,2873.22,204,332.98,518,1529.95,284,7644.07,10,84.22,100,3127.21
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2021/5/1,47,1687.73,87,3658.94,183,345.98,481,1470.97,285,8829.22,13,121.16,104,2819.74
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2021/6/1,53,2089.16,86,3635.91,218,400.25,530,1645.04,318,9067.34,14,124.83,117,3527.13
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2021/7/1,51,1848.05,74,3111.01,183,257.63,481,1257.38,294,8943.57,23,192.23,120,3133.68
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2021/8/1,54,2190.77,81,3244.86,198,281.16,526,1489.41,303,9022.86,16,142.58,111,3392.02
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2021/9/1,61,2320.95,84,3439.39,187,274.12,516,1429,307,10218.14,17,150.3,112,3334.18
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2021/10/1,51,1786.29,67,2665.3,168,222.36,455,1117.6,294,8778.65,11,120.28,100,2677.52
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2021/11/1,55,2155.51,88,3899.91,184,271.48,530,1410.39,314,10004.39,7,59.59,100,2996.24
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2021/12/1,61,2287.48,79,3538.47,186,281.19,505,1421.49,325,10790.4,15,146.98,115,3222.52
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2022/1/1,54,2432.34,80,3440.44,187,224.76,505,1191.67,339,10603.6,16,152.24,106,3303.64
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2022/2/1,50,1821.88,62,2357.71,170,219.6,448,1091.45,280,8938.85,11,118.21,85,2514.29
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2022/3/1,63,2413.34,92,4020.94,171,232.15,510,1275.1,327,11186.55,15,106.75,111,3676.35
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2022/4/1,56,2031.22,66,2780.1,179,222.33,479,1147.49,343,11548.57,13,105.93,103,2843.26
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2022/5/1,60,2808.51,85,3371.56,160,248.9,538,1579.82,392,12977.32,10,88.08,113,2801.27
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2022/6/1,53,2139.73,80,3414.1,131,168.58,510,1322.12,354,12411.53,13,158.34,108,2680.58
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2022/7/1,63,2275.42,77,3316.57,143,178.02,493,1172.48,352,12606.03,14,149.8,110,2572.37
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2022/8/1,60,2647.2,78,3452.01,174,214.84,578,1480.8,433,14994.36,9,77.5,105,3014.11
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2022/9/1,58,2164.04,84,3372.93,150,167.58,487,1264.33,390,13313.91,12,106.11,88,2029.63
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2022/10/1,64,2528.45,80,3540.84,137,162.79,518,1386.03,404,15553.84,11,118.69,101,2425.32
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2022/11/1,41,1831.07,71,2889.03,176,214.73,592,1772.89,450,16164.7,7,57.74,93,2355.46
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2022/12/1,64,2389.27,90,3828.19,160,180.15,541,1430.68,427,15787.15,12,216.98,99,2608.08
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2023/1/1,58,2332.49,88,4055.1,135,166.07,548,2076.27,386,13850.86,10,134.63,107,2560.19
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2023/2/1,57,2476.35,74,3285.44,140,161.44,528,1718.98,409,15691.73,11,109.91,93,2330.85
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2023/3/1,65,2408.78,92,4183.9,157,207.14,522,1837.62,400,14179.96,11,158.15,103,2468.2
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2023/4/1,69,2836.02,73,3158.44,148,182.46,502,1693.59,394,15052.33,19,335.54,100,2397.61
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2023/5/1,63,2577.38,85,3870.35,147,202.6,535,1547.77,439,15155.07,12,113.64,96,2155.04
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2023/6/1,67,2928.7,77,3938.92,163,174.73,568,1359.56,454,16225.56,18,373.02,102,2121.49
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2023/7/1,72,2890.45,93,3822.95,174,178.52,562,1152.46,478,15323.35,16,634.22,110,2646.21
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2023/8/1,65,2515.28,79,3025.29,168,194.37,533,1403.12,409,13988.46,15,321.09,113,2287.05
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2023/9/1,64,2718.01,79,3504.56,156,184.07,542,1112.6,450,15296.43,14,295.8,101,2349.94
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2023/10/1,63,2614.43,99,4036.61,159,195.01,557,1360.88,447,14921.54,19,504.89,107,2220.05
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2023/11/1,64,2715.73,85,3758.53,157,189.97,536,1066.73,440,15573.6,21,402.33,100,2001.78
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2023/12/1,69,2704.49,86,3512,163,210.95,544,1365.86,424,14105.7,10,275.4,95,2075.04
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2024/1/1,62,2670.35,88,3982.24,170,179.73,555,1465.33,453,15460.4,10,482.85,98,2217.81
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2024/2/1,66,2609.6,100,4286.98,153,186.38,540,1392,409,13727.37,10,282.19,85,1712.63
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2024/3/1,64,2276.73,95,3853.13,147,224.11,536,1408.05,461,15924.1,16,319.39,88,1754.24
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2024/4/1,75,3157.8,105,4583.57,161,154.09,556,1333.96,495,18736.49,15,579.51,101,2259.2
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2024/5/1,79,3269.66,100,4929.48,162,195.7,536,1673.67,485,17347.09,16,359.95,88,1710.69
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2024/6/1,62,2581.9,85,4009.24,157,162.93,556,1336.2,507,19389.26,17,448.91,84,1966.51
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2024/7/1,87,3310.8,105,4482.01,151,185.25,538,1461.56,510,19391.99,20,613.03,94,1692.26
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2024/8/1,70,3340.5,98,4540.72,159,157.12,527,1435.67,539,20515.03,12,483.43,86,1580
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2024/9/1,73,2640.97,102,4445.39,158,152.46,536,1750.91,509,19544.96,21,391.64,78,1235.12
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2024/10/1,84,3547.88,90,4390.52,172,155.39,576,1807.98,552,21084.66,21,328.04,96,1688.06
02T,B84004,HEBDEN BRIDGE GROUP PRACTICE,2024/11/1,75,2991.49,100,4428.16,156,138.74,563,1518.44,537,20398.71,20,423.88,78,1407.29
